,sku,description,sku_x,description,sku,description,sku_x,description
204,4648362.0,MAI     ,4648362.0,,5168362.0,MAI     ,5168362.0,
205,7156239.0,FREDERI ,7156239.0,,7136239.0,FREDERI ,7136239.0,
206,1783667.0,FREDERI ,1783667.0,,7814122.0,FREDERI ,7814122.0,
207,772991.0,FREDERI ,772991.0,,792991.0,FREDERI ,792991.0,
208,7636135.0,FREDERI ,7636135.0,,7596135.0,FREDERI ,7596135.0,
209,5013475.0,FREDERI ,5013475.0,,834885.0,FREDERI ,834885.0,
210,3988011.0,CLINIQUE,3988011.0,,2716578.0,CLINIQUE,2716578.0,
211,834885.0,FREDERI ,834885.0,,5013475.0,FREDERI ,5013475.0,
212,5168362.0,MAI     ,5168362.0,,4648362.0,MAI     ,4648362.0,MAI     
213,7636135.0,FREDERI ,7636135.0,,6656135.0,FREDERI ,6656135.0,
214,5930076.0,LOUISVL ,5930076.0,,5900076.0,LOUISVL ,5900076.0,
215,834885.0,FREDERI ,834885.0,,1783667.0,FREDERI ,1783667.0,
216,3472881.0,FREDERI ,3472881.0,,7409587.0,FREDERI ,7409587.0,
217,7409587.0,FREDERI ,7409587.0,,3472881.0,FREDERI ,3472881.0,
218,6656135.0,FREDERI ,6656135.0,,7596135.0,FREDERI ,7596135.0,
219,6208362.0,MAI     ,6208362.0,,6738362.0,MAI     ,6738362.0,
220,4318362.0,MAI     ,4318362.0,,4898362.0,MAI     ,4898362.0,
221,3908011.0,CLINIQUE,3908011.0,,2716578.0,CLINIQUE,2716578.0,
222,7596135.0,FREDERI ,7596135.0,,6656135.0,FREDERI ,6656135.0,
223,3908011.0,CLINIQUE,3908011.0,,3988011.0,CLINIQUE,3988011.0,
224,6696135.0,FREDERI ,6696135.0,,7596135.0,FREDERI ,7596135.0,
225,6696135.0,FREDERI ,6696135.0,,6656135.0,FREDERI ,6656135.0,
226,6706135.0,FREDERI ,6706135.0,,7596135.0,FREDERI ,7596135.0,
227,3898011.0,CLINIQUE,3898011.0,,3968011.0,CLINIQUE,3968011.0,
228,3348362.0,MAI     ,3348362.0,,5278362.0,MAI     ,5278362.0,
229,5900076.0,LOUISVL ,5900076.0,,5930076.0,LOUISVL ,5930076.0,
230,1069332.0,CELEBRT ,1069332.0,,7382655.0,CELEBRT ,7382655.0,
231,4898362.0,MAI     ,4898362.0,,5168362.0,MAI     ,5168362.0,MAI     
232,4648362.0,MAI     ,4648362.0,,5168362.0,MAI     ,5168362.0,MAI     
233,4898362.0,MAI     ,4898362.0,,4318362.0,MAI     ,4318362.0,
234,3908011.0,CLINIQUE,3908011.0,,3998011.0,CLINIQUE,3998011.0,
235,3672270.0,CELEBRT ,3672270.0,,7783784.0,CELEBRT ,7783784.0,
236,834885.0,FREDERI ,834885.0,,7814122.0,FREDERI ,7814122.0,
237,8798636.0,CELEBRT ,8798636.0,,2783996.0,CELEBRT ,2783996.0,
238,5013475.0,FREDERI ,5013475.0,,1783667.0,FREDERI ,1783667.0,
239,3988011.0,CLINIQUE,3988011.0,,3908011.0,CLINIQUE,3908011.0,
240,6454101.0,FREDERI ,6454101.0,,2294387.0,FREDERI ,2294387.0,
241,6706135.0,FREDERI ,6706135.0,,6656135.0,FREDERI ,6656135.0,
242,7814122.0,FREDERI ,7814122.0,,834885.0,FREDERI ,834885.0,
243,3968011.0,CLINIQUE,3968011.0,,3898011.0,CLINIQUE,3898011.0,
244,4980033.0,CELEBRT ,4980033.0,,929823.0,CELEBRT ,929823.0,
245,1783667.0,FREDERI ,1783667.0,,834885.0,FREDERI ,834885.0,
246,3163783.0,CELEBRT ,3163783.0,,7783784.0,CELEBRT ,7783784.0,
247,2332876.0,FREDERI ,2332876.0,,2742876.0,FREDERI ,2742876.0,
248,2742876.0,FREDERI ,2742876.0,,2332876.0,FREDERI ,2332876.0,
249,3908011.0,CLINIQUE,3908011.0,,2716578.0,CLINIQUE,2716578.0,CLINIQUE
250,1046672.0,FREDERI ,1046672.0,,1026672.0,FREDERI ,1026672.0,
251,4980033.0,CELEBRT ,4980033.0,,989823.0,CELEBRT ,989823.0,
252,7136239.0,FREDERI ,7136239.0,,7156239.0,FREDERI ,7156239.0,
253,1026672.0,FREDERI ,1026672.0,,1046672.0,FREDERI ,1046672.0,
254,3673946.0,CLINIQUE,3673946.0,,4108011.0,CLINIQUE,4108011.0,
255,2294387.0,FREDERI ,2294387.0,,6454101.0,FREDERI ,6454101.0,
256,3988011.0,CLINIQUE,3988011.0,,2716578.0,CLINIQUE,2716578.0,CLINIQUE
257,3898011.0,CLINIQUE,3898011.0,,3978011.0,CLINIQUE,3978011.0,
258,5872825.0,FREDERI ,5872825.0,,6343721.0,FREDERI ,6343721.0,
259,3582465.0,CLINIQUE,3582465.0,,348498.0,CLINIQUE,348498.0,
260,3690654.0,CLINIQUE,3690654.0,,3968011.0,CLINIQUE,3968011.0,
261,5013475.0,FREDERI ,5013475.0,,7814122.0,FREDERI ,7814122.0,
262,1783667.0,FREDERI ,1783667.0,,5013475.0,FREDERI ,5013475.0,
263,5453386.0,CLINIQUE,5453386.0,,7248011.0,CLINIQUE,7248011.0,
264,7783784.0,CELEBRT ,7783784.0,,3672270.0,CELEBRT ,3672270.0,
265,2716578.0,CLINIQUE,2716578.0,,3988011.0,CLINIQUE,3988011.0,
266,4674761.0,CELEBRT ,4674761.0,,7783784.0,CELEBRT ,7783784.0,
267,6696135.0,FREDERI ,6696135.0,,6706135.0,FREDERI ,6706135.0,
268,5453386.0,CLINIQUE,5453386.0,,7218011.0,CLINIQUE,7218011.0,
269,7814122.0,FREDERI ,7814122.0,,5013475.0,FREDERI ,5013475.0,
270,2726578.0,CLINIQUE,2726578.0,,3998011.0,CLINIQUE,3998011.0,
271,7351914.0,CELEBRT ,7351914.0,,270789.0,CELEBRT ,270789.0,
272,3968011.0,CLINIQUE,3968011.0,,3690654.0,CLINIQUE,3690654.0,
273,5079809.0,CLINIQUE,5079809.0,,4108011.0,CLINIQUE,4108011.0,
274,3908011.0,CLINIQUE,3908011.0,,2726578.0,CLINIQUE,2726578.0,
275,7351914.0,CELEBRT ,7351914.0,,4472217.0,CELEBRT ,4472217.0,
276,3690654.0,CLINIQUE,3690654.0,,3898011.0,CLINIQUE,3898011.0,
277,2716578.0,CLINIQUE,2716578.0,,3908011.0,CLINIQUE,3908011.0,
278,7382655.0,CELEBRT ,7382655.0,,1069332.0,CELEBRT ,1069332.0,
279,7351914.0,CELEBRT ,7351914.0,,2266446.0,CELEBRT ,2266446.0,
280,348498.0,CLINIQUE,348498.0,,3582465.0,CLINIQUE,3582465.0,
281,3898011.0,CLINIQUE,3898011.0,,3524026.0,CLINIQUE,3524026.0,
282,3683946.0,CLINIQUE,3683946.0,,4108011.0,CLINIQUE,4108011.0,
283,3898011.0,CLINIQUE,3898011.0,,3690654.0,CLINIQUE,3690654.0,
284,7596135.0,FREDERI ,7596135.0,,6706135.0,FREDERI ,6706135.0,
285,3690654.0,CLINIQUE,3690654.0,,3968011.0,CLINIQUE,3968011.0,CLINIQUE
286,7351914.0,CELEBRT ,7351914.0,,4552217.0,CELEBRT ,4552217.0,
287,6706135.0,FREDERI ,6706135.0,,6696135.0,FREDERI ,6696135.0,
288,3524026.0,CLINIQUE,3524026.0,,3978011.0,CLINIQUE,3978011.0,
289,4440924.0,CLINIQUE,4440924.0,,3968011.0,CLINIQUE,3968011.0,
290,6656135.0,FREDERI ,6656135.0,,6706135.0,FREDERI ,6706135.0,
291,3998011.0,CLINIQUE,3998011.0,,2726578.0,CLINIQUE,2726578.0,
292,3908011.0,CLINIQUE,3908011.0,,2726578.0,CLINIQUE,2726578.0,CLINIQUE
293,9667426.0,CLINIQUE,9667426.0,,2698353.0,CLINIQUE,2698353.0,
294,7351914.0,CELEBRT ,7351914.0,,3362422.0,CELEBRT ,3362422.0,
295,3871688.0,CELEBRT ,3871688.0,,3537981.0,CELEBRT ,3537981.0,
296,3898011.0,CLINIQUE,3898011.0,,3968011.0,CLINIQUE,3968011.0,CLINIQUE
297,7783784.0,CELEBRT ,7783784.0,,3163783.0,CELEBRT ,3163783.0,
298,1184024.0,CELEBRT ,1184024.0,,3537981.0,CELEBRT ,3537981.0,
299,4992993.0,CLINIQUE,4992993.0,,3161221.0,CLINIQUE,3161221.0,
300,2716578.0,CLINIQUE,2716578.0,,3988011.0,CLINIQUE,3988011.0,CLINIQUE
301,3968011.0,CLINIQUE,3968011.0,CLINIQUE,4440924.0,CLINIQUE,4440924.0,
302,3968011.0,CLINIQUE,3968011.0,,3898011.0,CLINIQUE,3898011.0,CLINIQUE
303,3998011.0,CLINIQUE,3998011.0,,3908011.0,CLINIQUE,3908011.0,
304,8798636.0,CELEBRT ,8798636.0,,5528349.0,CELEBRT ,5528349.0,
305,7783784.0,CELEBRT ,7783784.0,,4674761.0,CELEBRT ,4674761.0,
306,6656135.0,FREDERI ,6656135.0,,6696135.0,FREDERI ,6696135.0,
307,6318344.0,CLINIQUE,6318344.0,,3978011.0,CLINIQUE,3978011.0,
308,4440924.0,CLINIQUE,4440924.0,,3898011.0,CLINIQUE,3898011.0,
309,7261032.0,CLINIQUE,7261032.0,,9402188.0,CLINIQUE,9402188.0,
310,7596135.0,FREDERI ,7596135.0,,6696135.0,FREDERI ,6696135.0,
311,5079809.0,CLINIQUE,5079809.0,,3524026.0,CLINIQUE,3524026.0,
312,448103.0,CELEBRT ,448103.0,,3537981.0,CELEBRT ,3537981.0,
313,4440924.0,CLINIQUE,4440924.0,,3968011.0,CLINIQUE,3968011.0,CLINIQUE
314,3968011.0,CLINIQUE,3968011.0,CLINIQUE,2716578.0,CLINIQUE,2716578.0,
315,3898011.0,CLINIQUE,3898011.0,,3524026.0,CLINIQUE,3524026.0,CLINIQUE
316,4289064.0,CELEBRT ,4289064.0,,8808818.0,CELEBRT ,8808818.0,
317,7596135.0,FREDERI ,7596135.0,,7636135.0,FREDERI ,7636135.0,
318,348498.0,CLINIQUE,348498.0,,3978011.0,CLINIQUE,3978011.0,
319,6656135.0,FREDERI ,6656135.0,,7636135.0,FREDERI ,7636135.0,
320,3013129.0,CLINIQUE,3013129.0,,4108011.0,CLINIQUE,4108011.0,
321,3683946.0,CLINIQUE,3683946.0,,3524026.0,CLINIQUE,3524026.0,
322,2726578.0,CLINIQUE,2726578.0,,3908011.0,CLINIQUE,3908011.0,
323,2783996.0,CELEBRT ,2783996.0,,8798636.0,CELEBRT ,8798636.0,
324,2716578.0,CLINIQUE,2716578.0,,3968011.0,CLINIQUE,3968011.0,
325,6328344.0,CLINIQUE,6328344.0,,3998011.0,CLINIQUE,3998011.0,
326,3524026.0,CLINIQUE,3524026.0,,3898011.0,CLINIQUE,3898011.0,
